title,link
Business Development Associate - Trainee,https://technopark.in/job-details/26357?job=Business Development Associate - Trainee
QC & Compliance Analyst – Loan Operations,https://technopark.in/job-details/26347?job=QC & Compliance Analyst – Loan Operations
Business Analyst,https://technopark.in/job-details/26340?job=Business Analyst
Data Analyst,https://technopark.in/job-details/26331?job=Data Analyst
AI Developer - Python (Remote),https://technopark.in/job-details/26330?job=AI Developer - Python (Remote)
Finance Executive/ Financial Analyst,https://technopark.in/job-details/26325?job=Finance Executive/ Financial Analyst
Communication Trainer - English,https://technopark.in/job-details/26322?job=Communication Trainer - English
Junior Python Developer (Gen AI Experience),https://technopark.in/job-details/26311?job=Junior Python Developer (Gen AI Experience)
Technical Analyst,https://technopark.in/job-details/26308?job=Technical Analyst
Data Analyst,https://technopark.in/job-details/26296?job=Data Analyst
Scrum Master / Technical Analyst,https://technopark.in/job-details/26274?job=Scrum Master / Technical Analyst
Microsoft Fabric Data Engineer,https://technopark.in/job-details/26273?job=Microsoft Fabric Data Engineer
Mid Python Developer (Malaysia),https://technopark.in/job-details/26271?job=Mid Python Developer (Malaysia)
Full Stack Developer (Angular+Nodejs),https://technopark.in/job-details/26252?job=Full Stack Developer (Angular+Nodejs)
AI Developer (Job code AI/122025/749),https://technopark.in/job-details/26227?job=AI Developer (Job code AI/122025/749)
ML Engineer – Identity Risk & Knowledge Graph,https://technopark.in/job-details/26224?job=ML Engineer – Identity Risk & Knowledge Graph
Data Analyst,https://technopark.in/job-details/26222?job=Data Analyst
Business Analyst,https://technopark.in/job-details/26220?job=Business Analyst
Azure Data Engineer(contract),https://technopark.in/job-details/26211?job=Azure Data Engineer(contract)
Data Analyst,https://technopark.in/job-details/26204?job=Data Analyst
Junior Business Analyst,https://technopark.in/job-details/26198?job=Junior Business Analyst
Computer Vision/ML Engineer (Computer Vision),https://technopark.in/job-details/26180?job=Computer Vision/ML Engineer (Computer Vision)
Backend Developer – Node.js (Expert),https://technopark.in/job-details/26178?job=Backend Developer – Node.js (Expert)
Internship Opportunity (Unpaid – 6 to 12 Months),https://technopark.in/job-details/26148?job=Internship Opportunity (Unpaid – 6 to 12 Months)
Psychology Research Trainee,https://technopark.in/job-details/26117?job=Psychology Research Trainee
Business Development Trainee,https://technopark.in/job-details/26116?job=Business Development Trainee
Video Editing Trainee,https://technopark.in/job-details/26104?job=Video Editing Trainee
Digital Marketing Trainee,https://technopark.in/job-details/26099?job=Digital Marketing Trainee
"Fullstack Developer( React , Nodejs , Python)","https://technopark.in/job-details/26062?job=Fullstack Developer( React , Nodejs , Python)"
"SEO Analyst

MYM INFOTECH LLP 


			Calicut		

Full Time
Posted on December 2, 2025",https://cyberparks.in/job/mym-infotech-llp-calicut-keyword-competitor-analysis-technical-on-page-seolink-building-off-pageanalytics-reporting-ai-toolscontent-writing-editing-seo-analyst/
"ML AI Developer

Pfactorial Technologies Pvt Ltd Pfactorial Technologies specializes in end to end AI application 


			Cyber Park ,Kozhikode		

Full Time
Posted on August 1, 2025",https://cyberparks.in/job/pfactorial-technologies-pvt-ltd-cyeber-park-kozhikode-python-machine-learning-ai-data-analytics-ml-ai-developer/
PLSQL Developer | Practicesuite | Smartcity Kochi,https://smartcity-kochi.in/2024/11/plsql-developer-practicesuite-smartcity-kochi/
Angular Developer – Mid Level | Expeed Software| Smartcity Kochi,https://smartcity-kochi.in/2023/12/angular-developer-mid-level-expeed-software-smartcity-kochi/
Full Stack Developer | Expeed Software Pvt Ltd | Smartcity Kochi,https://smartcity-kochi.in/2022/08/full-stack-developer-expeed-software-pvt-ltd-smartcity-kochi/
Walkin for freshers | Metadata Technologies | Smartcity Kochi,https://smartcity-kochi.in/2020/01/walkin-for-freshers-metadata-technologies-smartcity-kochi/
